genres,artists,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
"['latin', 'latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",Alex Ubago,51,55,290.4535,51,12,4,31,5963
"['indie pop', 'pop']",Alexander 23,88,63,184.638,31,12,4,19,8300
"['latin', 'latin arena pop', 'latin pop', 'mexican pop']",Alexander Acha,23,53,233.493,56,22,3,28,7100
"['bard', 'classic russian pop', 'russian chanson', 'russian rock']",Alexander Rosenbaum,76,49,215.89,10,11,8,62,4000
"['dance pop', 'electropop', 'pop dance', 'romanian pop']",Alexandra Stan,3,72,195.105,93,14,5,78,6200
"['acoustic pop', 'british singer-songwriter', 'indie folk', 'neo mellow', 'stomp and holler']",Alexi Murdoch,87,57,320.469,28,10,4,32,5233
"['canadian post-hardcore', 'canadian rock', 'melodic metalcore', 'metalcore', 'pop punk', 'post-hardcore', 'screamo']",Alexisonfire,0,31,243.03567,88,25,7,35,4767
"['classic colombian pop', 'cumbia', 'vallenato']",Alfredo Gutierrez,22,80,190.0235,65,7,4,91,3600
"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",Ali,11,81,316.07325,52,17,28,61,5250
"['dirty south rap', 'pop rap', 'southern hip hop']",Ali & Gipp,4,87,271.16,51,30,25,84,5200
"['afrobeat', 'afropop', 'desert blues', 'malian blues', 'mande pop', 'world']",Ali Farka Touré,60,44,365.089,42,22,5,54,4783
"['canadian hip hop', 'pop']",Ali Gatie,44,73,199.108,46,14,10,35,7467
"['barnmusik', 'swedish jazz', 'vintage swedish pop']",Alice Babs,93,47,229.42233,10,31,4,28,2333
"['electropop', 'uk pop']",Alice Chater,1,77,232.123,57,15,14,40,6600
"['afrofuturism', 'afropop', 'art rock', 'avant-garde jazz', 'contemporary post-bop', 'experimental', 'fourth world', 'free jazz', 'jazz', 'jazz funk', 'jazz harp', 'spiritual jazz', 'world']",Alice Coltrane,65,34,423.41995,37,16,4,32,2979
"['eurodance', 'europop']",Alice DJ,0,64,212.6398,82,30,5,72,5960
"['eurodance', 'europop']",Alice Deejay,0,67,215.246,85,31,6,75,5800
"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",Alicia Keys,39,56,250.82525,57,18,11,44,5951
"['alternative metal', 'funk metal', 'nu metal', 'pop punk', 'post-grunge', 'rap rock']",Alien Ant Farm,1,59,204.08233,95,17,8,66,5283
"['mandopop', 'taiwan pop']",Alien Huang,37,57,281.183,49,19,3,43,6500
"['alternative r&b', 'etherpop', 'pop']",Alina Baraz,46,56,225.46044,49,16,8,23,5806
"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",Alisha,9,76,396,50,8,7,85,2650
"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",Alisha Chinai,37,48,482.586,90,9,16,68,5100
