genres,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
muzica populara,93.5460227,47.896996800000004,165.39164369999997,31.2262987,20.5492857,5.051493499999999,56.2306006,43.7229437
nederpop,23.3578259,52.516888900000005,218.4277789,60.4501667,16.8229111,3.8018111,56.0653333,4334.5
neo-synthpop,13.000891000000001,58.19022029999999,259.3584591,72.9534771,17.8068399,5.0578668,50.6571035,5171.475053
neon pop punk,7.2761133000000005,55.376269199999996,216.4634848,79.8991484,20.4491433,7.478894799999999,56.3137447,5009.298948
nepali pop,98.8,60.6,198.155,34.1,19.0,7.9399999999999995,66.60000000000001,0.0
new wave pop,21.4088472,60.506852300000006,252.3983974,64.9569463,18.7899449,4.8840838,62.863898,4371.101207000001
nigerian pop,19.4950248,67.4270833,216.337041,72.58068180000001,16.753951999999998,13.439589599999998,63.4359848,5094.760101
noise pop,16.074935200000002,46.051494399999996,238.56484849999998,72.79674109999999,20.4002488,5.9045635,48.0541271,4401.81429
norwegian pop,19.6888409,56.584772699999995,218.4918545,66.35472730000001,17.536628800000003,6.0056136,42.7620455,6223.257576
norwegian pop rap,13.100000000000001,43.0,211.68,60.6,17.299999999999997,4.31,12.3,7600.0
nyc pop,27.6425606,65.9014646,216.1170798,61.7121717,17.666944400000002,9.1991869,49.5223737,5899.343434
nz pop,27.133090199999998,62.3448284,202.4279464,55.8943352,16.946904099999998,6.0090253,42.1306586,6313.385315
okinawan pop,7.032016700000001,54.1,227.6366667,88.85,22.3633333,5.113333300000001,68.7666667,5300.0
operatic pop,77.6481195,31.9169765,232.7968107,28.0902748,17.4309714,4.3862758,21.9472525,4187.770629
pakistani pop,70.225812,52.738034199999994,312.0878479,39.586410300000004,30.0024615,6.4295469999999995,61.961453,3127.179487
palestinian pop,78.0,35.099999999999994,493.796,60.6,53.5,3.11,51.300000000000004,0.0
panamanian pop,22.495554000000002,75.75865859999999,217.091466,72.0426961,21.317089799999998,10.5721116,64.02571999999999,4546.229632
persian pop,56.35416669999999,65.2625,295.3942813,45.48125,16.565625,7.8547917,68.3989583,3633.333333
pinoy pop punk,1.76,60.4,284.987,75.6,10.6,3.52,30.8,5700.0
polish pop,48.9,59.199999999999996,179.5,33.6,11.4,3.8699999999999997,55.50000000000001,3500.0
polynesian pop,33.6364292,72.4079274,238.3251402,54.2657721,15.517331,9.7528016,75.1717892,4566.210172
pop,27.687283200000003,62.8348761,216.3362591,61.1041167,17.5072549,8.5784373,47.9474178,6074.590869
pop argentino,14.0529083,60.185416700000005,233.9849625,71.7679167,29.4408333,3.3615,66.5016667,6275.0
pop chileno,44.1625,48.3125,244.205125,48.325,16.71,3.8275000000000006,27.212500000000002,4825.0
pop dance,14.6834049,65.0180395,221.0474113,72.9253571,18.2242636,8.2601941,50.468769,5869.147354
pop edm,11.2805392,60.2536451,220.01750339999998,76.7961213,17.6469597,6.6815235,40.1622857,5742.577361
pop electronico,11.7111667,73.6033333,207.79006669999998,71.2066667,9.8841667,6.7866667000000005,62.019999999999996,5558.3333330000005
pop emo,5.628033100000001,52.07870919999999,210.0351895,82.3199055,20.8128988,6.793539899999999,53.2457952,4964.834891
pop flamenco,49.6875,65.60000000000001,230.405125,58.074999999999996,34.0375,6.101249999999999,69.125,5162.5
pop folk,74.00615379999999,48.4653846,258.1782615,30.3566154,9.6423846,3.8515,26.9629615,5945.384615
pop house,7.635447200000001,66.0144444,246.50365,83.1444444,22.1355556,9.572666700000001,45.9733333,3288.888889
pop nacional,15.602333299999998,70.0729167,207.15554170000001,75.46875,17.136875,7.6285416999999995,64.3875,6747.9166669999995
pop nacional antigas,23.205000000000002,46.25,207.805,53.025,10.235,3.05,51.24999999999999,4175.0
pop peruano,35.07,65.51,237.22660000000002,72.6733333,9.2143333,5.104,79.54,5246.666667
pop punk,8.4424367,50.4368317,214.4588228,80.1659922,20.945930200000003,7.8973069,50.47606329999999,4928.804323
pop quebecois,44.257142900000005,55.971428599999996,224.379,54.114285699999996,18.5742857,3.37,45.2714286,4700.0
pop r&b,25.9011989,66.2562037,233.2242633,57.1495909,16.7000336,12.835823900000001,45.3401288,5592.2694710000005
pop rap,15.9326559,70.4426904,233.32428969999998,66.64405140000001,19.505907999999998,16.099541000000002,53.347743,5495.821554
pop reggaeton,37.2289674,64.7948107,231.2016488,66.5140415,13.1516056,8.154479,73.558486,5114.886039999999
pop rock,22.8890894,54.5934217,239.3177058,66.12218279999999,17.8513477,5.247520499999999,49.8105721,5058.087780000001
pop rock brasileiro,4.09,56.8,265.04,70.0,8.38,2.58,57.099999999999994,6100.0
