genres,acousticness,danceability,duration_ms,energy,liveness,speechiness,valence,popularity
greek pop,7851.78025,5830.6399,0.1979283654,4566.72708,1625.94283,516.60742,6742.108730000001,224535.00519999999
grunge pop,8.94975,5495.0,0.2114038333,8696.666669999999,2864.1666699999996,613.6666700000001,4205.0,421666.66670000006
guatemalan pop,6220.0,5910.0,0.265307,6720.0,1120.0,375.0,2670.0000000000005,740000.0
guinean pop,5360.0,4745.0,0.424133,5450.000000000001,1300.0,368.5,6300.0,320000.0
gujarati pop,7359.999999999999,6190.0,0.19525299999999998,4280.0,1360.0,281.0,5420.0,640000.0
haryanvi pop,9940.0,5620.0,0.17534,2000.0,1500.0,750.0,2160.0,0.0
hip pop,1713.9142399999996,7017.33392,0.25491479570000003,6556.43221,1861.36789,1592.23962,5939.00285,478958.7654999999
hokkien pop,5753.5,4681.5,0.31240195,5132.0,5046.5,470.65000000000003,3372.5,486500.0
hungarian pop,9510.0,5900.0,0.18419999999999997,4120.0,977.0,326.0,7459.999999999999,0.0
hyperpop,2456.3785500000004,6364.026790000001,0.1750004098,6149.250000000001,2468.14464,1203.62589,5538.125,557142.8571
icelandic pop,4533.52365,4930.36864,0.32167651799999997,3963.2508199999997,2619.07577,393.71627,2176.07663,461672.1753
ilocano pop,8110.625,6865.625,0.17760512499999997,2666.5625,1437.125,372.9375,7663.124999999999,340625.0
indie cafe pop,5185.53007,5641.5339,0.2154276124,4408.88667,1474.58296,604.78461,3582.4734200000003,616453.1789
indie dream pop,3916.95,5746.6666700000005,0.2114243333,5616.66667,1140.8333300000002,393.83333,3671.6666699999996,528333.3333
indie electropop,1882.68479,6286.476189999999,0.2172971591,6424.5727799999995,1969.3348199999998,879.0439899999999,3746.7202399999996,584494.3182
indie pop,3105.7207399999998,5584.55291,0.22297767999999998,5997.767320000001,1760.04229,605.91028,4650.99676,549943.4738
indie pop rap,1537.4380300000003,6661.96204,0.2191652834,7105.839559999999,2208.56163,1871.9531499999998,5092.55169,555976.6412
indie poptimism,1729.8945099999996,6074.9898,0.2188771395,6903.19909,1727.7018299999997,713.92508,4571.3893,577362.2076000001
indie psych-pop,5694.44444,5848.88889,0.19918577780000002,3923.8888899999997,1274.38889,517.6666700000001,3410.3333300000004,602222.2222000001
indonesian pop,4008.55556,4831.11111,0.2334244444,4015.55556,1921.88889,502.99999999999994,3448.8888899999997,550000.0
irish pop,3231.87,5627.349999999999,0.193648415,5871.6,1035.69,581.855,3888.36,606850.0
